mOTU	kingdom	phylum	class	order	family	genus	species
OTU4472	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides coprophilus
OTU4473	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium vulneris
OTU4474	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalophilus	s__Methanohalophilus mahii
OTU4475	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__Ferrimonas balearica
OTU4476	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Nostocales	f__Nostocaceae	g__Trichormus	s__Trichormus azollae
OTU4477	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__Hirschia	s__Hirschia maritima
OTU4478	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__Ponticaulis	s__Ponticaulis koreensis
OTU4479	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pectobacterium	s__Pectobacterium betavasculorum
OTU4480	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcaceae gen. incertae sedis	s__Ruminococcaceae bacterium D16
OTU4481	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidia order incertae sedis	f__Dehalococcoidia fam. incertae sedis	g__Dehalogenimonas	s__Dehalogenimonas lykanthroporepellens
OTU4482	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas endodontalis
OTU4483	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophaga sputigena
OTU4484	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophaga gingivalis
OTU4485	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium rimae
OTU4486	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillales fam. incertae sedis	g__Enhydrobacter	s__Enhydrobacter aerosaccus
OTU4487	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter rectus
OTU4488	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter showae
OTU4489	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter gracilis
OTU4490	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Cobetia	s__Cobetia crustatorum
OTU4491	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnoclostridium	s__[Clostridium] hylemonae
OTU4492	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales Family III. Incertae Sedis	g__Thermosediminibacter	s__Thermosediminibacter oceani
OTU4493	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Dethiobacter	s__Dethiobacter alkaliphilus
OTU4494	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Galbibacter	s__Galbibacter marinus
OTU4495	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Halothiobacillaceae	g__Halothiobacillus	s__Halothiobacillus neapolitanus
OTU4496	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfohalobiaceae	g__Desulfonatronospira	s__Desulfonatronospira thiodismutans
OTU4497	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp. Rr 2-17
OTU4498	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. D5
OTU4499	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__Helicobacter winghamensis
OTU4500	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Oxalobacter	s__Oxalobacter formigenes
OTU4501	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Oxalobacter	s__Oxalobacter formigenes
OTU4502	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Chryseobacterium	s__Chryseobacterium piperi
OTU4503	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Lentibacillus	s__Lentibacillus jeotgali
OTU4504	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces toyocaensis
OTU4505	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Nostocales	f__Nostocaceae	g__Cylindrospermum	s__Cylindrospermum stagnale
OTU4506	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Oscillatoriales	f__Oscillatoriaceae	g__Oscillatoria	s__Oscillatoria acuminata
OTU4507	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	g__Actinomadura	s__Actinomadura flavalba
OTU4508	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pectobacterium	s__Pectobacterium carotovorum
OTU4509	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Rheinheimera	s__Rheinheimera nanhaiensis
OTU4510	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Amphibacillus	s__Amphibacillus jilinensis
OTU4511	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Kyrpidia	s__Kyrpidia tusciae
OTU4512	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillales Family XI. Incertae Sedis	g__Gemella	s__Gemella haemolysans
OTU4513	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillales Family XI. Incertae Sedis	g__Gemella	s__Gemella morbillorum
OTU4514	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella sp. C561
OTU4515	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp. M334
OTU4516	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Sulfurimonas	s__Sulfurimonas autotrophica
OTU4517	k__Archaea	p__Euryarchaeota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus acetivorans
OTU4518	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Halieaceae	g__Luminiphilus	s__Luminiphilus syltensis
OTU4519	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria order incertae sedis	f__Gammaproteobacteria fam. incertae sedis	g__Gammaproteobacteria gen. incertae sedis	s__gamma proteobacterium NOR5-3
OTU4520	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea davisae
OTU4521	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophaceae	g__Syntrophus	s__Syntrophus aciditrophicus
OTU4522	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Dickeya	s__Dickeya sp. NCPPB 569
OTU4523	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__Serratia symbiotica
OTU4524	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Nocardiopsaceae	g__Nocardiopsis	s__Nocardiopsis potens
OTU4525	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Fodinicurvata	s__Fodinicurvata sediminis
OTU4526	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Fodinicurvata	s__Fodinicurvata fenggangensis
OTU4527	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sedimentitalea	s__Sedimentitalea nanhaiensis
OTU4528	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__candidatus Hamiltonella	s__candidatus Hamiltonella defensa
OTU4529	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Allochromatium	s__Allochromatium vinosum
OTU4530	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Vulcanisaeta	s__Vulcanisaeta distributa
OTU4531	k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__Halanaerobium praevalens
OTU4532	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Arcobacter	s__Arcobacter nitrofigilis
OTU4533	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Ilyobacter	s__Ilyobacter polytropus
OTU4534	k__Archaea	p__Euryarchaeota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus profundus
OTU4535	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Aminobacterium	s__Aminobacterium colombiense
OTU4536	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium cellulovorans
OTU4537	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus infernus
OTU4538	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus fervens
OTU4539	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis excentricus
OTU4541	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio magneticus
OTU4542	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__Spirochaeta	s__Spirochaeta smaragdinae
OTU4543	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Francisellaceae	g__Francisella	s__Francisella sp. TX077308
OTU4545	k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halobacteroidaceae	g__Acetohalobium	s__Acetohalobium arabaticum
OTU4546	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus gaemokensis
OTU4547	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus manliponensis
OTU4549	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas zhanjiangensis
OTU4550	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Isosphaeraceae	g__Isosphaera	s__Isosphaera pallida
OTU4551	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes class incertae sedis	o__Bacteroidetes order incertae sedis	f__Bacteroidetes fam. incertae sedis	g__Bacteroidetes gen. incertae sedis	s__Bacteroidetes oral taxon 274
OTU4552	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospiraceae gen. incertae sedis	s__Lachnospiraceae bacterium oral taxon 500
OTU4553	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus coleohominis
OTU4554	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella sp. oral taxon 317
OTU4555	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfobulbus	s__Desulfobulbus propionicus
OTU4556	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
OTU4557	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Zymomonas	s__Zymomonas mobilis
OTU4558	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Gallionellales	f__Gallionellaceae	g__Sideroxydans	s__Sideroxydans lithotrophicus
OTU4559	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Thermovirga	s__Thermovirga lienii
OTU4560	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Moritellaceae	g__Moritella	s__Moritella sp. PE36
OTU4561	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	g__Spirillospora	s__Spirillospora albida
OTU4562	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__Hirschia	s__Hirschia baltica
OTU4563	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus paralvinellae
OTU4564	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Chroococcales	f__Aphanothecaceae	g__Rubidibacter	s__Rubidibacter lacunae
OTU4565	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__Hyphomicrobium denitrificans
OTU4566	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__Methylotenera	s__Methylotenera mobilis
OTU4567	k__Bacteria	p__Verrucomicrobia	c__Opitutae	o__Puniceicoccales	f__Puniceicoccaceae	g__Coraliomargarita	s__Coraliomargarita akajimensis
OTU4568	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Ignisphaera	s__Ignisphaera aggregans
OTU4569	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces celluloflavus
OTU4570	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Aminomonas	s__Aminomonas paucivorans
OTU4571	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Proteus	s__Proteus vulgaris
OTU4572	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia hominis
OTU4573	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__Synechococcus sp. KORDI-49
OTU4574	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__Synechococcus sp. KORDI-52
OTU4575	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Oribacterium	s__Oribacterium sinus
OTU4576	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella bergensis
OTU4577	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Weissella	s__Weissella paramesenteroides
OTU4578	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus amylolyticus
OTU4579	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium genitalium
OTU4580	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium mcbrellneri
OTU4581	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__Aeromicrobium marinum
OTU4582	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Oceanobacillus	s__Oceanobacillus manasiensis
OTU4583	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Terribacillus	s__Terribacillus aidingensis
OTU4584	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__[Clostridium] papyrosolvens
OTU4585	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas naejangsanensis
OTU4586	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfurivibrio	s__Desulfurivibrio alkaliphilus
OTU4587	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Alteromonas	s__Alteromonas australica
OTU4588	k__Archaea	p__Euryarchaeota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Ferroglobus	s__Ferroglobus placidus
OTU4589	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas sp. KM-1
OTU4590	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas fimi
OTU4591	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus fermentans
OTU4592	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	f__Desulfurococcaceae	g__Staphylothermus	s__Staphylothermus hellenicus
OTU4593	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces viridochromogenes
OTU4594	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Rickettsiella	s__Rickettsiella grylli
OTU4595	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	s__Abiotrophia defectiva
OTU4596	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Anaerobaculum	s__Anaerobaculum hydrogeniformans
OTU4597	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Catonella	s__Catonella morbi
OTU4598	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Dialister	s__Dialister invisus
OTU4599	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Nonlabens	s__Nonlabens dokdonensis
OTU4600	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales Family XIII. Incertae Sedis	g__Clostridiales Family XIII. gen. Incertae Sedis	s__[Eubacterium] saphenum
OTU4601	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea sp. At-9b
OTU4602	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea sp. Sc1
OTU4603	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus gammatolerans
OTU4604	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula formicica
OTU4605	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas gilvus
OTU4606	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Rhodopirellula	s__Rhodopirellula sp. SWK7
OTU4607	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Tolumonas	s__Tolumonas auensis
OTU4609	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Methylosinus	s__Methylosinus trichosporium
OTU4610	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovorax paradoxus
OTU4611	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__Arthrobacter sp. A3
OTU4612	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio fructosivorans
OTU4613	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp. U5L
OTU4614	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus stomatis
OTU4615	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria flavescens
OTU4616	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas uenonis
OTU4617	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Brenneria	s__Brenneria sp. EniD312
OTU4618	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Nautiliales	f__Nautiliaceae	g__Nautilia	s__Nautilia profundicola
OTU4619	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Synechococcales	f__Prochloraceae	g__Prochlorococcus	s__Prochlorococcus marinus
OTU4620	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Synechococcales	f__Prochloraceae	g__Prochlorococcus	s__Prochlorococcus marinus
OTU4621	k__Bacteria	p__Cyanobacteria/Melainabacteria group	c__Cyanobacteria	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	s__Synechococcus sp. WH 7805
OTU4622	k__Bacteria	p__Deinococcus-Thermus	c__Deinococci	o__Thermales	f__Thermaceae	g__Meiothermus	s__Meiothermus rufus
OTU4623	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sibiricus
OTU4625	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales Family III. Incertae Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor obsidiansis
OTU4626	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnoclostridium	s__[Clostridium] saccharolyticum
OTU4628	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__Rhodoferax saidenbachensis
OTU4629	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pluralibacter	s__Pluralibacter gergoviae
OTU4630	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Arenibacter	s__Arenibacter algicola
OTU4631	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aquimarina	s__Aquimarina agarilytica
OTU4632	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans
OTU4633	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Methylocystis	s__Methylocystis sp. ATCC 49242
OTU4634	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella	s__Granulicatella elegans
OTU4635	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderia glumae
OTU4636	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Alloprevotella	s__Alloprevotella tannerae
OTU4637	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter nanhaiticus
OTU4638	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp. SYK-6
OTU4639	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas syringae group genomosp. 3
OTU4640	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azoarcus	s__Azoarcus sp. BH72
OTU4641	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Kingella	s__Kingella oralis
OTU4642	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp. Mn802worker
OTU4643	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiorhodovibrio	s__Thiorhodovibrio sp. 970
OTU4644	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodobiaceae	g__Lutibaculum	s__Lutibaculum baratangense
OTU4645	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales Family III. Incertae Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor hydrothermalis
